[02:41:50] ============================================================
[02:41:50] TLIO ResNet1D  (ResMLP128 과 동일 환경)
[02:41:50] 출력: out_resnet_small
[02:41:50] 디바이스: cuda
[02:41:50] 데이터셋 로딩... (Oxford + TLIO golden 증강)
[02:42:19] Train samples: 1,309,769 | Val samples: 45,112
[02:42:19] ResNet1D (small) 파라미터 수: 460,490
[02:42:19] [two-stage] Stage 1: MSE (epoch 1~30)
[02:42:21] 총 100 epoch
[02:43:45]   Epoch 001 [6300/10232]  reg=0.1202  rmse=0.5915
[02:43:45]   Epoch 001 [6350/10232]  reg=0.0909  rmse=0.5912
[02:43:46]   Epoch 001 [6400/10232]  reg=0.0960  rmse=0.5908
[02:43:46]   Epoch 001 [6450/10232]  reg=0.0791  rmse=0.5903
[02:43:46]   Epoch 001 [6500/10232]  reg=0.1067  rmse=0.5899
[02:43:47]   Epoch 001 [6550/10232]  reg=0.1104  rmse=0.5894
[02:43:47]   Epoch 001 [6600/10232]  reg=0.1217  rmse=0.5889
[02:43:47]   Epoch 001 [6650/10232]  reg=0.0772  rmse=0.5884
[02:43:48]   Epoch 001 [6700/10232]  reg=0.0709  rmse=0.5879
[02:43:48]   Epoch 001 [6750/10232]  reg=0.0784  rmse=0.5875
[02:43:49]   Epoch 001 [6800/10232]  reg=0.1697  rmse=0.5870
[02:43:49]   Epoch 001 [6850/10232]  reg=0.0916  rmse=0.5867
[02:43:49]   Epoch 001 [6900/10232]  reg=0.0957  rmse=0.5861
[02:43:50]   Epoch 001 [6950/10232]  reg=0.0769  rmse=0.5857
[02:43:50]   Epoch 001 [7000/10232]  reg=0.0679  rmse=0.5852
[02:43:51]   Epoch 001 [7050/10232]  reg=0.1057  rmse=0.5848
[02:43:51]   Epoch 001 [7100/10232]  reg=0.0869  rmse=0.5843
[02:43:51]   Epoch 001 [7150/10232]  reg=0.0809  rmse=0.5838
[02:43:52]   Epoch 001 [7200/10232]  reg=0.0636  rmse=0.5834
[02:43:52]   Epoch 001 [7250/10232]  reg=0.0699  rmse=0.5829
[02:43:52]   Epoch 001 [7300/10232]  reg=0.1134  rmse=0.5825
[02:43:53]   Epoch 001 [7350/10232]  reg=0.1088  rmse=0.5819
[02:43:53]   Epoch 001 [7400/10232]  reg=0.0764  rmse=0.5814
[02:43:54]   Epoch 001 [7450/10232]  reg=0.0680  rmse=0.5810
[02:43:54]   Epoch 001 [7500/10232]  reg=0.0861  rmse=0.5805
[02:43:54]   Epoch 001 [7550/10232]  reg=0.0969  rmse=0.5800
[02:43:55]   Epoch 001 [7600/10232]  reg=0.0674  rmse=0.5795
[02:43:55]   Epoch 001 [7650/10232]  reg=0.1159  rmse=0.5791
[02:43:56]   Epoch 001 [7700/10232]  reg=0.0636  rmse=0.5786
[02:43:56]   Epoch 001 [7750/10232]  reg=0.0963  rmse=0.5781
[02:43:56]   Epoch 001 [7800/10232]  reg=0.0574  rmse=0.5777
[02:43:57]   Epoch 001 [7850/10232]  reg=0.0987  rmse=0.5772
[02:43:57]   Epoch 001 [7900/10232]  reg=0.0726  rmse=0.5767
[02:43:58]   Epoch 001 [7950/10232]  reg=0.1543  rmse=0.5762
[02:43:58]   Epoch 001 [8000/10232]  reg=0.0717  rmse=0.5756
[02:43:58]   Epoch 001 [8050/10232]  reg=0.0877  rmse=0.5752
